S. No.,INSTITUTE NAME,INSTITUTE TYPE,FW,BRANCH,NATIONALPLAYER,OPENING JEE COMMON RANK,CLOSING JEE COMMON RANK,ALLOTTED CATEGORY,DOMICILE,TOTAL ALLOTTED
1320,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,EE,,166378,182534,UR/X/OP,AI,3
1321,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,EE,,276400,855484,UR/X/OP,Y,28
1322,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,EI,,616033,931931,EWS,Y,7
1323,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,EI,,488080,1002636,UR/X/F,Y,7
1324,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,EI,,175370,194048,UR/X/OP,AI,3
1325,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,EI,,461326,1465924,UR/X/OP,Y,32
1326,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,IT,,190956,290882,EWS,Y,7
1327,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,Y,IT,,123367,159321,FW/OP,Y,3
1328,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,IT,,358724,373721,OBC/X/F,Y,2
1329,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,IT,,346757,533597,OBC/X/OP,Y,26
1330,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,IT,,738183,1062958,SC/X/F,Y,2
1331,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,IT,,931407,1221370,SC/X/OP,Y,6
1332,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,IT,,255099,314591,UR/X/F,Y,8
1333,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,IT,,90454,142236,UR/X/OP,AI,3
1334,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,IT,,150901,343697,UR/X/OP,Y,21
1335,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,MECH,,532862,948667,EWS,Y,7
1336,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,MECH,,667272,1331444,UR/X/F,Y,2
1337,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,MECH,,172745,233427,UR/X/OP,AI,3
1338,"Samrat Ashok Technological Institute, Vidisha (1960)",AIDED,N,MECH,,477322,1438176,UR/X/OP,Y,44
1339,"Saraswati Institute of Engineering & Technology, Jabalpur (2008)",private,N,AIADS,,242395,242395,UR/X/OP,,1
1340,"Saraswati Institute of Engineering & Technology, Jabalpur (2008)",private,Y,CSE,,948041,1166433,FW/OP,,2
1341,"SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,
BALAGHAT",private,N,CSE,,568216,1463155,UR/X/OP,,9
1342,"SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,
BALAGHAT",private,N,EE,,1271447,1271447,UR/X/OP,,1
1343,"SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,
BALAGHAT",private,N,MECH,,1376157,1376157,UR/X/OP,,1
1344,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,AG,,195091,1118728,UR/X/F,Y,2
1345,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,AG,,207096,295286,UR/X/OP,AI,2
1346,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,AG,,489780,1217458,UR/X/OP,Y,4
1347,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,CE,,284699,1154216,EWS,Y,3
1348,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,CE,,201918,299389,UR/X/OP,AI,3
1349,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,CE,,726056,912762,UR/X/OP,Y,4
1350,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,EC,,360095,1332818,EWS,Y,4
1351,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,EC,,576274,990082,UR/X/F,Y,8
1352,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,EC,,97776,171287,UR/X/OP,AI,3
1353,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,EC,,598734,1386734,UR/X/OP,Y,17
1354,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,ECS,,674339,1335003,EWS,Y,6
1355,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,Y,ECS,,317925,381139,FW/OP,Y,3
1356,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,ECS,,244859,627919,UR/X/F,Y,8
1357,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,ECS,,196689,207699,UR/X/OP,AI,3
1358,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,ECS,,310943,1473519,UR/X/OP,Y,37
1359,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,EE,,846952,1148102,UR/X/F,Y,4
1360,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,EE,,186039,206874,UR/X/OP,AI,3
1361,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,EE,,397951,854706,UR/X/OP,Y,3
1362,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,MECH,,471918,1319700,UR/X/F,Y,2
1363,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,MECH,,253608,277022,UR/X/OP,AI,3
1364,"School of Engineering and Technology, Vikram University, Ujjain
(2011)",S.F.I.,N,MECH,,233084,1396203,UR/X/OP,Y,2
1365,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,191898,240265,EWS,Y,7
1366,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,Y,CSBS,,144952,187005,FW/OP,Y,3
1367,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,260158,316136,OBC/X/F,Y,2
1368,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,257388,288567,OBC/X/OP,Y,12
1369,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,621465,681871,SC/X/F,Y,3
1370,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,667154,1388705,SC/X/OP,Y,13
1371,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,490067,590926,ST/X/F,Y,2
1372,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,956440,1411857,ST/X/OP,Y,4
1373,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,184688,249565,UR/X/F,Y,9
1374,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,93742,108125,UR/X/OP,AI,3
1375,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSBS,,160395,254769,UR/X/OP,Y,20
1376,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEDS,,178528,206824,EWS,Y,7
1377,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,Y,CSEDS,,134535,172063,FW/OP,Y,3
1378,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEDS,,225411,241572,OBC/X/F,Y,3
1379,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEDS,,205993,232767,OBC/X/OP,Y,7
1380,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEDS,,265151,612640,SC/X/F,Y,3
1381,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEDS,,483757,936552,SC/X/OP,Y,19
1382,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEDS,,733416,1101845,ST/X/OP,Y,4
1383,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEDS,,140134,216738,UR/X/F,Y,9
1384,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEDS,,60674,91808,UR/X/OP,AI,3
1385,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEDS,,80563,191917,UR/X/OP,Y,20
1386,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,129222,177297,EWS,Y,7
1387,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,Y,CSEIML,,109900,121018,FW/OP,Y,3
1388,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,616656,616656,JKM,N,1
1389,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,189427,207732,OBC/X/F,Y,2
1390,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,167972,190816,OBC/X/OP,Y,8
1391,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,396063,497988,SC/X/F,Y,3
1392,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,369601,611635,SC/X/OP,Y,19
1393,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,675827,913693,ST/X/F,Y,2
1394,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,1177016,1213236,ST/X/OP,Y,2
1395,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,130520,187737,UR/X/F,Y,8
1396,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,27401,77121,UR/X/OP,AI,3
1397,"SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL",S.F.I.,N,CSEIML,,72996,164140,UR/X/OP,Y,21
1398,"Shiv Kumar Singh Institute of Technology & Science, Indore (2007)",private,N,EC,,486047,486047,UR/X/OP,,1
1399,"Shiv Kumar Singh Institute of Technology & Science, Indore (2007)",private,N,FTS,,940146,940146,UR/X/OP,,1
1400,"Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)",private,N,AIML,,1408777,1408777,EWS,,1
1401,"Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)",private,N,AIML,,434380,1428655,UR/X/OP,,5
1402,"Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)",private,N,CSE,,566537,1420073,UR/X/OP,,16
1403,"Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)",private,Y,EC,,893754,893754,FW/OP,,1
1404,"Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)",private,N,EC,,1346818,1346818,UR/X/OP,,1
1405,"Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)",private,N,IT,,1176167,1474111,UR/X/OP,,2
