S. No.,INSTITUTE NAME,INSTITUTE TYPE,FW,BRANCH,NATIONALPLAYER,OPENING JEE COMMON RANK,CLOSING JEE COMMON RANK,ALLOTTED CATEGORY,DOMICILE,TOTAL ALLOTTED
1,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CE,,921972,921972,EWS,,1
2,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CE,,163531,453274,FW/OP,,3
3,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CE,,179823,1313670,UR/X/OP,,31
4,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,87749,305914,EWS,,30
5,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSE,,97069,153216,FW/OP,,12
6,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,643061,643061,JKM,,1
7,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,254298,373684,OBC/X/OP,,54
8,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,431949,1471933,SC/X/OP,,76
9,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,429640,1384400,ST/X/OP,,8
10,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,66613,251829,UR/X/OP,,108
11,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,285677,540254,EWS,,7
12,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSECS,,144871,175367,FW/OP,,3
13,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,434100,662856,OBC/X/OP,,32
14,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,854007,1012596,SC/X/OP,,2
15,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,1208437,1208437,ST/X/OP,,1
16,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,154717,416690,UR/X/OP,,27
17,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEDS,,122067,372129,EWS,,7
18,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSEDS,,168767,189260,FW/OP,,3
19,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEDS,,407453,637005,OBC/X/OP,,33
20,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEDS,,722406,1228745,SC/X/OP,,2
21,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEDS,,160305,377381,UR/X/OP,,27
22,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIL,,542742,1070513,EWS,,7
23,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSEIL,,371522,419259,FW/OP,,3
24,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIL,,740710,1210776,OBC/X/OP,,35
25,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIL,,420198,687920,UR/X/OP,,27
26,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,218499,409328,EWS,,15
27,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSEIML,,88829,164596,FW/OP,,6
28,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,341346,508116,OBC/X/OP,,56
29,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,497985,1404128,SC/X/OP,,12
30,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,897815,897815,ST/X/OP,,1
31,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,96706,336466,UR/X/OP,,54
32,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSIT,,406325,590171,EWS,,15
33,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSIT,,203805,233714,FW/OP,,6
34,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSIT,,519339,871124,OBC/X/OP,,69
35,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSIT,,99946,478163,UR/X/OP,,54
36,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,EC,,621378,844036,EWS,,7
37,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,EC,,291769,345470,FW/OP,,3
38,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,EC,,818903,1454144,OBC/X/OP,,26
39,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,EC,,345093,814018,UR/X/OP,,36
40,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,ECACT,,653645,1238954,EWS,,7
41,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,ECACT,,266292,361260,FW/OP,,3
42,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,ECACT,,965156,1418463,OBC/X/OP,,18
43,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,ECACT,,951580,951580,SC/X/OP,,1
44,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,ECACT,,371630,945255,UR/X/OP,,43
45,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,EEVDT,,956479,1327085,EWS,,3
46,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,EEVDT,,281853,504442,FW/OP,,3
47,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,EEVDT,,321674,1454195,UR/X/OP,,52
48,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,IT,,342723,499261,EWS,,15
49,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,IT,,158225,197930,FW/OP,,6
50,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,IT,,497056,836102,OBC/X/OP,,68
51,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,IT,,716298,716298,SC/X/OP,,1
52,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,IT,,168844,485859,UR/X/OP,,54
53,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,MECH,,807821,807821,EWS,,1
54,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,MECH,,481643,667261,FW/OP,,3
55,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,MECH,,316129,1427900,UR/X/OP,,28
56,"Adina Institute of Science & Technology, Sagar (2009)",private,N,CSE,,329843,1047646,EWS,,3
57,"Adina Institute of Science & Technology, Sagar (2009)",private,Y,CSE,,454482,1106092,FW/OP,,3
58,"Adina Institute of Science & Technology, Sagar (2009)",private,N,CSE,,140770,1080322,UR/X/OP,,17
59,"Adina Institute of Science & Technology, Sagar (2009)",private,N,CSEAI,,787980,902348,EWS,,2
60,"Adina Institute of Science & Technology, Sagar (2009)",private,Y,CSEAI,,544088,744254,FW/OP,,3
61,"Adina Institute of Science & Technology, Sagar (2009)",private,N,CSEAI,,450395,1408108,UR/X/OP,,10
62,"Aditya College of Technology & Science, Satna (2007)",private,N,AGRITECH,,200048,200048,UR/X/OP,,1
63,"Aditya College of Technology & Science, Satna (2007)",private,N,AIML,,510309,843342,UR/X/OP,,2
64,"Aditya College of Technology & Science, Satna (2007)",private,N,CE,,1333278,1333278,UR/X/OP,,1
65,"Aditya College of Technology & Science, Satna (2007)",private,Y,CSE,,404343,1140615,FW/OP,,3
66,"Aditya College of Technology & Science, Satna (2007)",private,N,CSE,,263539,1469521,UR/X/OP,,4
67,"Aditya College of Technology & Science, Satna (2007)",private,N,FTS,,1140395,1263693,UR/X/OP,,3
68,"Aditya College of Technology & Science, Satna (2007)",private,N,MINING,,1037388,1379019,UR/X/OP,,2
69,"All Saints College of Technology, Bhopal (2002)",Private,N,CE,,483663,483663,UR/X/OP,,1
70,"All Saints College of Technology, Bhopal (2002)",private,Y,CSE,,383740,925687,FW/OP,,6
71,"All Saints College of Technology, Bhopal (2002)",private,N,CSE,,196955,1313415,UR/X/OP,,17
72,"Alpine Institute of Technology, Ujjain (2007)",private,N,CSE,,329780,1385950,UR/X/OP,,10
73,"Alpine Institute of Technology, Ujjain (2007)",private,N,IT,,570988,1146274,UR/X/OP,,2
74,"Annie Institute of Technology and Research Centre, Chhindwara
(2013)",Private,N,EC,,1032938,1032938,UR/X/OP,,1
75,"Babulal Tarabai Institute of Research & Technology, Sagar (2008)",private,Y,CSE,,428154,1146509,FW/OP,,5
76,"Babulal Tarabai Institute of Research & Technology, Sagar (2008)",private,N,CSE,,354083,1171015,UR/X/OP,,3
77,"Babulal Tarabai Institute of Research & Technology, Sagar (2008)",private,Y,CSEIML,,398760,1246694,FW/OP,,3
78,"Babulal Tarabai Institute of Research & Technology, Sagar (2008)",private,N,CSEIML,,486597,1192232,UR/X/OP,,6
79,"Babulal Tarabai Institute of Research & Technology, Sagar (2008)",private,N,ELECT ELEX,,1018285,1210824,UR/X/OP,,2
80,"Babulal Tarabai Institute of Research & Technology, Sagar (2008)",private,N,MECH,,940882,940882,UR/X/OP,,1
81,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",Private,Y,CE,,848737,1408959,FW/OP,,2
82,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",Private,N,CE,,683512,1458739,UR/X/OP,,8
83,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,CMPS,,915015,915015,EWS,,1
84,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,Y,CMPS,,156635,229490,FW/OP,,2
85,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,CMPS,,228066,1473868,UR/X/OP,,13
86,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,CSE,,593966,1466999,EWS,,18
87,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,Y,CSE,,170312,442734,FW/OP,,15
88,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,CSE,,181379,1474585,UR/X/OP,,190
89,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,CSEDS,,1159323,1231111,EWS,,5
90,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,Y,CSEDS,,468631,586674,FW/OP,,5
91,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,CSEDS,,485556,1467736,UR/X/OP,,32
92,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,CSEIML,,508419,1362856,EWS,,22
93,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,Y,CSEIML,,308413,419281,FW/OP,,9
94,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,CSEIML,,326889,1470678,UR/X/OP,,126
95,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,Y,CSEITCS,,366695,587028,FW/OP,,3
96,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,CSEITCS,,502926,1474009,UR/X/OP,,22
97,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,Y,EC,,656206,1039566,FW/OP,,3
98,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,EC,,446742,1473580,UR/X/OP,,9
99,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,Y,MECH,,1197101,1207359,FW/OP,,2
100,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT,
JABALPUR",private,N,MECH,,1252600,1473121,UR/X/OP,,4
101,"Bagulamukhi College of Technology, Bhopal (2009)",private,N,CE,,783857,783857,UR/X/OP,,1
102,"Bagulamukhi College of Technology, Bhopal (2009)",private,N,CSE,,768432,946733,UR/X/OP,,3
103,"Bansal College of Engineering, Obedullaganj, Raisen (2002)",private,N,CE,,1239299,1469163,UR/X/OP,,2
104,"Bansal College of Engineering, Obedullaganj, Raisen (2002)",private,N,CSE,,1185351,1185351,EWS,,1
105,"Bansal College of Engineering, Obedullaganj, Raisen (2002)",private,Y,CSE,,246625,735949,FW/OP,,9
106,"Bansal College of Engineering, Obedullaganj, Raisen (2002)",private,N,CSE,,252107,1458661,UR/X/OP,,23
107,"Bansal College of Engineering, Obedullaganj, Raisen (2002)",private,Y,CSEIML,,575333,823998,FW/OP,,3
108,"Bansal College of Engineering, Obedullaganj, Raisen (2002)",private,N,CSEIML,,307083,1400954,UR/X/OP,,9
109,"Bansal College of Engineering, Obedullaganj, Raisen (2002)",private,Y,EC,,1023540,1023540,FW/OP,,1
110,"Bansal College of Engineering, Obedullaganj, Raisen (2002)",private,N,EC,,899807,899807,UR/X/OP,,1
111,"Bansal College of Engineering, Obedullaganj, Raisen (2002)",private,N,ELECT ELEX,,796544,796544,UR/X/OP,,1
112,"Bansal Institute of Research & Technology, Bhopal (2007)",private,N,CE,,401768,1471226,UR/X/OP,,5
113,"Bansal Institute of Research & Technology, Bhopal (2007)",private,N,CSE,,1015353,1460307,EWS,,4
114,"Bansal Institute of Research & Technology, Bhopal (2007)",private,Y,CSE,,587908,771179,FW/OP,,9
115,"Bansal Institute of Research & Technology, Bhopal (2007)",private,N,CSE,,311382,1466974,UR/X/OP,,45
116,"Bansal Institute of Research & Technology, Bhopal (2007)",private,Y,CSEDS,,407512,801784,FW/OP,,3
117,"Bansal Institute of Research & Technology, Bhopal (2007)",private,N,CSEDS,,719541,1438114,UR/X/OP,,11
118,"Bansal Institute of Research & Technology, Bhopal (2007)",private,Y,EC,,1124529,1372597,FW/OP,,2
119,"Bansal Institute of Research & Technology, Bhopal (2007)",private,N,EC,,1331538,1432974,UR/X/OP,,3
120,"Bansal Institute of Research & Technology, Bhopal (2007)",private,Y,ELECT ELEX,,1050376,1441907,FW/OP,,2
121,"Bansal Institute of Research & Technology, Bhopal (2007)",private,N,ELECT ELEX,,767303,1440860,UR/X/OP,,3
122,"Bansal Institute of Research & Technology, Bhopal (2007)",private,Y,MECH,,1134545,1134545,FW/OP,,1
123,"Bansal Institute of Research Technology & Science, Bhopal (2008)",private,N,CSE,,1100695,1198300,EWS,,2
124,"Bansal Institute of Research Technology & Science, Bhopal (2008)",private,Y,CSE,,581374,1043532,FW/OP,,9
125,"Bansal Institute of Research Technology & Science, Bhopal (2008)",private,N,CSE,,807449,1446259,UR/X/OP,,11
126,"Bansal Institute of Research Technology & Science, Bhopal (2008)",private,Y,CSEDS,,945645,1211118,FW/OP,,3
127,"Bansal Institute of Research Technology & Science, Bhopal (2008)",private,N,CSEDS,,1304870,1304870,UR/X/OP,,1
128,"Bansal Institute of Research Technology & Science, Bhopal (2008)",private,Y,CSEIML,,491208,861572,FW/OP,,3
129,"Bansal Institute of Research Technology & Science, Bhopal (2008)",private,N,CSEIML,,1088539,1431389,UR/X/OP,,5
130,"Bansal Institute of Science & Technology, Bhopal (2000)",private,Y,CE,,878818,915424,FW/OP,,2
131,"Bansal Institute of Science & Technology, Bhopal (2000)",private,N,CE,,518295,1445404,UR/X/OP,,4
132,"Bansal Institute of Science & Technology, Bhopal (2000)",private,N,CSE,,930774,930774,EWS,,1
133,"Bansal Institute of Science & Technology, Bhopal (2000)",private,Y,CSE,,332304,490015,FW/OP,,9
134,"Bansal Institute of Science & Technology, Bhopal (2000)",private,N,CSE,,251632,1458220,UR/X/OP,,42
135,"Bansal Institute of Science & Technology, Bhopal (2000)",private,Y,CSEIML,,217371,518530,FW/OP,,3
136,"Bansal Institute of Science & Technology, Bhopal (2000)",private,N,CSEIML,,470905,1428060,UR/X/OP,,20
137,"Bansal Institute of Science & Technology, Bhopal (2000)",private,Y,EC,,587733,828812,FW/OP,,2
138,"Bansal Institute of Science & Technology, Bhopal (2000)",private,N,EC,,828642,1431624,UR/X/OP,,3
139,"Bansal Institute of Science & Technology, Bhopal (2000)",private,Y,ELECT ELEX,,417117,493712,FW/OP,,2
140,"Bansal Institute of Science & Technology, Bhopal (2000)",private,N,ELECT ELEX,,1086728,1468868,UR/X/OP,,5
141,"Bansal Institute of Science & Technology, Bhopal (2000)",private,Y,IT,,545346,586644,FW/OP,,3
142,"Bansal Institute of Science & Technology, Bhopal (2000)",private,N,IT,,735800,1295285,UR/X/OP,,9
143,"Bansal Institute of Science & Technology, Bhopal (2000)",private,Y,MECH,,643582,699559,FW/OP,,2
144,"Bansal Institute of Science & Technology, Bhopal (2000)",private,N,MECH,,904116,1473412,UR/X/OP,,7
145,"Bethesda Institute of Technology and Science, Gwalior (2011)",Private,N,CSE,,259598,901379,UR/X/OP,,5
146,"Bhopal Institute of Technology & Management, Bhopal (2009)",private,Y,CSE,,649585,669943,FW/OP,,2
147,"Bhopal Institute of Technology & Management, Bhopal (2009)",private,N,CSE,,191259,1474846,UR/X/OP,,9
148,"Bhopal Institute of Technology & Management, Bhopal (2009)",private,N,MECH,,1339847,1339847,UR/X/OP,,1
149,"Bhopal Institute of Technology & Science, Bhopal (2002)",private,N,CSE,,210213,1338813,UR/X/OP,,12
150,"Bhopal Institute of Technology, Bhopal (2007)",private,Y,CSE,,438880,1388257,FW/OP,,5
151,"Bhopal Institute of Technology, Bhopal (2007)",private,N,CSE,,246146,1268699,UR/X/OP,,10
152,"Bhopal Institute of Technology, Bhopal (2007)",private,N,ELECT ELEX,,397608,397608,UR/X/OP,,1
153,"BM College of Technology, Indore (2007)",private,N,CSE,,1034785,1034785,EWS,,1
154,"BM College of Technology, Indore (2007)",private,Y,CSE,,348694,815672,FW/OP,,6
155,"BM College of Technology, Indore (2007)",private,N,CSE,,336558,1078749,UR/X/OP,,10
156,"BM College of Technology, Indore (2007)",private,N,ELECT ELEX,,639211,639211,UR/X/OP,,1
157,"Chameli Devi Group of Institutions, Indore (2006)",private,N,AIADS,,873902,1120932,EWS,,2
158,"Chameli Devi Group of Institutions, Indore (2006)",private,Y,AIADS,,411464,654066,FW/OP,,6
159,"Chameli Devi Group of Institutions, Indore (2006)",private,N,AIADS,,478726,1449857,UR/X/OP,,53
160,"Chameli Devi Group of Institutions, Indore (2006)",private,Y,CE,,1110364,1110364,FW/OP,,1
161,"Chameli Devi Group of Institutions, Indore (2006)",private,N,CE,,676664,1466734,UR/X/OP,,5
162,"Chameli Devi Group of Institutions, Indore (2006)",private,N,CSE,,861184,1369239,EWS,,11
163,"Chameli Devi Group of Institutions, Indore (2006)",private,Y,CSE,,187390,576023,FW/OP,,18
164,"Chameli Devi Group of Institutions, Indore (2006)",private,N,CSE,,146594,1466346,UR/X/OP,,135
165,"Chameli Devi Group of Institutions, Indore (2006)",private,N,CSEIML,,1096529,1361891,EWS,,2
166,"Chameli Devi Group of Institutions, Indore (2006)",private,N,CSEIML,,463723,1471351,UR/X/OP,,45
167,"Chameli Devi Group of Institutions, Indore (2006)",private,N,CSEITCS,,658417,1425423,UR/X/OP,,5
168,"Chameli Devi Group of Institutions, Indore (2006)",private,Y,IT,,396318,659286,FW/OP,,3
169,"Chameli Devi Group of Institutions, Indore (2006)",private,N,IT,,670035,1439056,UR/X/OP,,12
170,"Chameli Devi Group of Institutions, Indore (2006)",private,Y,MECH,,509929,791602,FW/OP,,2
171,"Chameli Devi Group of Institutions, Indore (2006)",private,N,MECH,,918694,1464544,UR/X/OP,,7
172,"Corporate Institute of Science & Technology, Bhopal (2008)",private,Y,CSE,,617067,1462310,FW/OP,,4
173,"Corporate Institute of Science & Technology, Bhopal (2008)",private,Y,CSEIML,,390558,1244746,FW/OP,,2
174,"Corporate Institute of Science & Technology, Bhopal (2008)",private,N,CSEIML,,667354,1302623,UR/X/OP,,3
175,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,CSE,,416319,820683,EWS,Y,7
176,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,CSE,,843253,859980,OBC/X/F,Y,2
177,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,CSE,,641293,1424385,OBC/X/OP,Y,26
178,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,CSE,,762274,1096395,SC/X/OP,Y,2
179,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,CSE,,1057658,1284947,ST/X/F,Y,2
180,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,CSE,,1117353,1117353,ST/X/OP,Y,1
181,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,CSE,,147821,757177,UR/X/F,Y,9
182,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,CSE,,67452,146588,UR/X/OP,AI,3
183,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,CSE,,80411,636922,UR/X/OP,Y,23
184,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,MECH,,1325618,1325618,EWS,Y,1
185,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,MECH,,168713,260738,UR/X/OP,AI,3
186,"DR. A.P.J. ABDUL KALAM UIT, JHABUA",S.F.I.,N,MECH,,180202,1455820,UR/X/OP,Y,5
187,"DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY, SEONI",private,N,CSE,,1141571,1141571,UR/X/OP,,1
188,"DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY, SEONI",private,N,CYSEC,,249220,1055375,UR/X/OP,,3
189,"DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY, SEONI",private,N,MECH,,1296054,1296054,UR/X/OP,,1
190,"Guru Ramdas Khalsa Institute of Science & Technology, Jabalpur
(1997)",private,N,AIADS,,950012,1386933,UR/X/OP,,2
191,"Guru Ramdas Khalsa Institute of Science & Technology, Jabalpur
(1997)",private,Y,BT,,307633,307633,FW/OP,,1
192,"Guru Ramdas Khalsa Institute of Science & Technology, Jabalpur
(1997)",private,N,BT,,287110,839375,UR/X/OP,,3
193,"Guru Ramdas Khalsa Institute of Science & Technology, Jabalpur
(1997)",private,N,CSE,,292381,909749,UR/X/OP,,6
194,"Gwalior Institute of Information Technology, Gwalior (2008)",private,N,CSE,,758810,762801,EWS,,2
195,"Gwalior Institute of Information Technology, Gwalior (2008)",private,Y,CSE,,339336,511345,FW/OP,,3
196,"Gwalior Institute of Information Technology, Gwalior (2008)",private,N,CSE,,105200,1442728,UR/X/OP,,25
197,"Gwalior Institute of Information Technology, Gwalior (2008)",private,N,EC,,728465,728465,UR/X/OP,,1
198,"Gwalior Institute of Information Technology, Gwalior (2008)",private,Y,IT,,1043964,1043964,FW/OP,,1
199,"Gwalior Institute of Information Technology, Gwalior (2008)",private,N,IT,,684242,1138519,UR/X/OP,,2
200,"Gyan Ganga College of Technology, Jabalpur (2006)",private,N,AIAIDS,,651523,726943,EWS,,4
201,"Gyan Ganga College of Technology, Jabalpur (2006)",private,Y,AIAIDS,,438895,614409,FW/OP,,6
202,"Gyan Ganga College of Technology, Jabalpur (2006)",private,N,AIAIDS,,576463,1441599,UR/X/OP,,33
203,"Gyan Ganga College of Technology, Jabalpur (2006)",private,N,CSE,,718063,1164347,EWS,,4
204,"Gyan Ganga College of Technology, Jabalpur (2006)",private,Y,CSE,,146005,599359,FW/OP,,9
205,"Gyan Ganga College of Technology, Jabalpur (2006)",private,N,CSE,,280242,1454049,UR/X/OP,,43
206,"Gyan Ganga College of Technology, Jabalpur (2006)",private,N,CSEIML,,888423,1031785,EWS,,2
207,"Gyan Ganga College of Technology, Jabalpur (2006)",private,Y,CSEIML,,485733,524719,FW/OP,,3
208,"Gyan Ganga College of Technology, Jabalpur (2006)",private,N,CSEIML,,441952,1455706,UR/X/OP,,34
209,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,AIR,,1233820,1233820,EWS,,1
210,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,AIR,,440352,535149,FW/OP,,3
211,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,AIR,,1036668,1442914,UR/X/OP,,7
212,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,CE,,382187,670414,FW/OP,,3
213,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CE,,330037,1461168,UR/X/OP,,14
214,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSBS,,929665,929665,EWS,,1
215,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,CSBS,,235515,405376,FW/OP,,3
216,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSBS,,341814,1452391,UR/X/OP,,19
217,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSE,,498601,1448817,EWS,,14
218,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,CSE,,216897,478402,FW/OP,,18
219,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSE,,232090,1467770,UR/X/OP,,177
220,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSEDS,,712166,712166,EWS,,1
221,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,CSEDS,,243585,481981,FW/OP,,6
222,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSEDS,,527532,1473700,UR/X/OP,,27
223,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSEIML,,484800,1468244,EWS,,23
224,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,CSEIML,,176588,406732,FW/OP,,12
225,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSEIML,,267631,1470833,UR/X/OP,,185
226,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSEITCS,,583375,1237811,EWS,,2
227,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,CSEITCS,,238120,522507,FW/OP,,5
228,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,CSEITCS,,116325,1458298,UR/X/OP,,30
229,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,EC,,636122,691371,FW/OP,,3
230,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,EC,,528387,1468055,UR/X/OP,,15
231,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,EE,,1037575,1037575,EWS,,1
232,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,EE,,754571,994121,FW/OP,,2
233,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,EE,,491638,1464528,UR/X/OP,,10
234,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,ELECT ELEX,,964968,964968,EWS,,1
235,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,ELECT ELEX,,678397,745155,FW/OP,,3
236,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,ELECT ELEX,,540754,1449145,UR/X/OP,,13
237,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,Y,MECH,,1199246,1199246,FW/OP,,1
238,"Gyan Ganga Institute of Technology & Science, Jabalpur (2003)",private,N,MECH,,650437,848335,UR/X/OP,,2
239,"Gyan Sagar College of Engineering, Sagar (2009)",private,Y,CSE,,862514,862514,FW/OP,,1
240,"Gyan Sagar College of Engineering, Sagar (2009)",private,N,CSE,,1205749,1236926,UR/X/OP,,2
241,"Gyan Sagar College of Engineering, Sagar (2009)",private,N,CSEAI,,276305,1364106,UR/X/OP,,5
242,"Gyan Sagar College of Engineering, Sagar (2009)",private,N,ELECT ELEX,,1370118,1370118,UR/X/OP,,1
243,"Hitkarni College of Engineering & Technology, Jabalpur (1997)",private,N,CE,,1463039,1463039,UR/X/OP,,1
